Question,Answer,
What should I wear to my graduation,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1630/,117
How can I collect my official academic transcript,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1540/,118
What happens if I miss my enrolment open time,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1162/,119
What do I do if my program is not available through internal transfer,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1203/,120
Is my scholarship income taxable,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1391/,121
How do I find out how much my HELP debt is,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1770/,122
What bicycle facilities are available on campus,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1661/,123
Can I take a course from another university (cross-institutional study),https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1128/,124
How do I photocopy in the library,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1446/,125
Am I eligible for FEE-HELP assistance,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2014/,126
What is a Commonwealth supported place,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1368/,127
Where is the Roseworthy Student Services Office,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2373/,128
Can I change my courses or class times,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1106/,129
Is there a way to keep my access to electronic library resources after I've finished my program,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1455/,130
Can I get into a class that is already full,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1119/,131
I am an international student. Do I need to enrol full-time in every semester,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1169/,132
Where is Offsite Storage (URRSA) and how do I request items from there,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1476/,133
Can I apply for a refund,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1378/,134
Can I get HECS-HELP if I study another degree,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1771/,135
How do I notify the University of my change of citizenship or residency status,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2178/,136
Can I get a printing refund,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1714/,137
Am I eligible to apply for Honours in the Faculty of Arts,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2212/,138
When can I enrol if I commence my program midyear,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1175/,139
When will the exam timetable be available,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2040/,140
What courses do I enrol in for my degree in the Faculty of Arts,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2200/,141
How will I receive my scholarship payments,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1379/,142
"Tuition fees aside, is there anything else that I will need to pay for",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1383/,143
What are tutorial marks for,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1417/,144
Will I still be able to access my email and the library after I submit my higher degree by research thesis,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1475/,145
Where can I get a copy of the higher degree by research program rules from the year of my enrolment,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1109/,146
Are there enrolment information ,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1114/,147
How can I ensure the correct name appears on my testamur if it is incorrect in Access Adelaide,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1612/,148
What date is my graduation ceremony,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2365/,149
Can I make up my own double degree if the two programs I want to study are not offered as a set double degree,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2363/,150
Must I sit the replacement exam if I have already passed the primary exam,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1686/,151
Can I use the toilet during an exam,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2069/,152
When does my Overseas Student Health Cover (OSHC) cover start,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1327/,153
"If I'm due to graduate from multiple programs, can I receive all of my testamurs at one ceremony",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1610/,154
Do I still need to submit a Return from Leave of Absence form if my candidature is about to lapse,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1103/,155
How can I get my course reader,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1406/,156
How soon after receiving my results can I order an academic transcript,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1532/,157
Can I apply for an extension to my fees,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1340/,158
What should I do if I get sick before receiving my OSHC card,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1325/,159
What are the important dates,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1204/,160
What are the main exam session times,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2044/,161
How do I apply for an overseas exchange,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2624/,162
Where can I get my travel insurance policy number,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2557/,163
Does the University provide a counselling service for students,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1283/,164
Are there any parenting rooms on campus,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2707/,165
What is the Engineering Enabling program,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1821/,166
What happens to my OSHC when I go home for the holidays,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1332/,167
What is the census date,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2193/,168
What is direct billing,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1320/,169
What tuition fees do I have to pay for my Study Overseas experience,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2622/,170
Can I receive more than one scholarship at a time,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1393/,171
Where is the Maths Learning Centre (MLC) and when is it open,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1528/,172
"What textbooks will I need for my courses, and when should I purchase these",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2913/,173
I am an international student. Can I work while I am studying,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1251/,174
Can I change my major or minor in the Faculty of Arts,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2208/,175
How do I copy files using ADAPT,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1728/,176
When is the last date I can submit my research thesis for examination in order to make graduation,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1536/,177
Do I need to be at my exam venue by a certain time,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2045/,178
How do I access Studiosity,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2926/,179
What is a scholarships recognition ceremony,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2839/,180
How can I find out how to enrol so that I complete my degree in the duration of my Confirmation of Enrolment (CoE),https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1140/,181
Can I take a leave of absence or break from Honours in the Faculty of Arts,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2220/,182
What documents can Ask Adelaide certify,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2766/,183
Can I graduate from the Diploma in Languages before my undergraduate degree,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2229/,184
"As a Commonwealth-supported student, do I have to complete a HECS-HELP form if I want to pay my tuition fees upfront",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1346/,185
What is a University Medal,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1627/,186
How soon after transferring into a new program can I enrol,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1182/,187
"AsÂ a first year student, can I apply to study overseas",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2573/,188
"If I have changed programs, will I need to reapply for financial support from the Commonwealth",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1772/,189
What is my Commonwealth Scholarship valued at,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2836/,190
How do I submit a Turnitin assignment in MyUni (Canvas),https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2344/,191
I am a new international student. When should I arrive in Adelaide,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1218/,192
Where do I return my library books,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1471/,193
Do I need to pay the Student Services Amenities Fee if I am a student and a staff member,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1348/,194
Why are my fees different from my friends',https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1769/,195
What is a self-reporting program,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2550/,196
I am an international student and am bringing my family with me to Australia. What kind of support services are available,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1246/,197
I am an international student; where can I look for work in Australia while I am studying,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1373/,198
Where will my exam be held,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2043/,199
When and where do I collect my academic dress from,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2247/,200
"I am an international student. Can I undertake online, distance or cross-institutional study",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1163/,201
Can I go on exchange in the Diploma in Languages or Arts,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2230/,202
What is a Dean's Certificate and how do I order one,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1545/,203
How do I make an OSHC claim for health expenses,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1326/,204
What is the Research Training Program,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1358/,205
How do I get access to digital qualification documents in My eQuals,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2680/,206
How will my change in residency affect my fees,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1355/,207
Why doesn’t my course appear in MyUni,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1347/,208
How much can I earn from part-time employment in addition to my research scholarship,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1377/,209
Where do I purchase lab coats,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1985/,210
How do I manage my enrolment in a Diploma in Languages and my primary degree,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2225/,211
What happens if I return an item to the library late,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1467/,212
How do I get credit for my Study Overseas experience,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2561/,213
Do I need extras cover for OSHC,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1318/,214
Do I have to pay the Student Services and Amenities Fee if I am studying overseas,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2623/,215
Can I start a language midyear,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2234/,216
Why has my library item been recalled and the due date changed,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1473/,217
Do I have to see a direct billing doctor if I am with OSHC Allianz Global Assistance,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1319/,218
How many units do I need to be enrolled in at the University of Adelaide while on exchange,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2647/,219
Is there a security service on campus,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1660/,220
Where is the Writing Centre and when is it open,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1521/,221
What will it cost to go on a Study Overseas Experience,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2620/,222
I am a Category A student. Under what circumstances do I need to contact Disability Support,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1288/,223
How do I submit an assignment in MyUni (Canvas),https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2343/,224
Am I eligible to apply for the Diploma in Languages,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2223/,225
How do I resolve an enrolment error,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1240/,226
What is covered by OSHC Allianz Global Assistance,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1338/,227
Can I enrol from overseas,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1113/,228
"Do I need to register with a National Board to study medicine, dentistry or oral health",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2160/,229
"As a cross-institutional student, how do I send my results to my home University",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1534/,230
Are there any scholarships to support conference attendance for research students,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1389/,231
Can I undertake a PhD or a Master by Research without having to pay tuition fees,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1342/,232
What are my login details,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1349/,233
Can I start the Diploma in Languages in the second or third year of my degree,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2228/,234
I think I may have been sexually assaulted. Who can I turn to for help,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2315/,235
What is a major in the Faculty of Arts,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2195/,236
I am an international student. What happens if I will not complete my degree by the expected date,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1606/,237
How much does the airport pickup service cost,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1210/,238
"I can't access my lecture theatre/tutorial room as a result of my disability, injury or medical condition. What should I do",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1298/,239
How do I access assistive software or equipment in the Adaptive Technology Room,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1284/,240
Where and when can I collect my guest tickets for my graduation ceremony,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1634/,241
How can I get a block removed from my account so I can enrol or change my enrolment,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1154/,242
Where do I direct questions about enrolment at the University of Adelaide while Iâ€™m on an overseas exchange,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2641/,243
Why aren't I receiving any emails from the University,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1755/,244
Can I graduate with outstanding fees,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1580/,245
What is MyUni,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1400/,246
Can I scan in the library,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1437/,247
Are there any courses I can take online for free,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2725/,248
Where can I obtain forms relating to higher degree by research candidature,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1111/,249
What is the Student Services and Amenities Fee,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1381/,250
I have accepted my offer. When can I register, ,1
I didn't handle the exam. Who can I talk to, ,2
What if I miss the exam, ,3
"What is a retest, assessment extension † or additional assessment, and how do I apply", ,4
"What do ""LBB"" and ""LMM"" stand for", ,5
What grade and grade scheme does the university use, ,6
How do I register for my course, ,7
What happens if I fail the course, ,8
What does negotiation mean and what is the difference between consensus and completion, ,9
How do withdrawal failures (WNF) and withdrawal failures (WF) affect my average grade point (GPA), ,10
When can I find my test results, ,11
What is GPA and how is it calculated, ,12
"Summer or winter school offers a course, how do I register", ,13
What is the difference between core and elective courses, ,14
"What is the difference between procedures, units and courses", ,15
Is Microsoft Office 365 available to students and faculty, ,16
What is the difference between part-time and full-time study, ,17
"If I fail the last subject of my course, am I eligible for another assessment", ,18
Can my grades be deleted from my transcript, ,19
Can I download some college software on my personal computer, ,20
How many units are there in a discipline, ,21
"How can I apply for a recurring ""failure-free withdrawal"" (WNF) due to the bad situation", ,22
What is a supplementary exam, ,23
When can I sign up for summer or winter school, ,24
How to recharge printing allowance, ,25
When will I be in danger of being cancelled CoE, ,26
How many hours do I need to go to college each week, ,27
Should I take a break from my studies, ,28
How do I know if I am at risk of not achieving satisfactory academic performance, ,29
How do I plan a timetable, ,30
What is the difference between an exchange plan and a study abroad program, ,31
How to resolve schedule conflicts, ,32
Can I progress to another degree, ,33
Is there a Justices of the Peace who can prove my credentials on campus, ,34
